elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
7.054,-0.064,-0.006,1.005,,,,0.427,0.122,0,
7.064,-0.063,-0.006,1.003,,,,0.183,-0.244,0.244,
7.073,-0.063,-0.007,1.004,,,,0.366,0.122,-0.122,
7.083,-0.065,-0.006,1.003,,,,0.305,-0.122,0.122,
7.093,-0.063,-0.008,1.004,,,,-0.061,0.244,0.122,
7.103,-0.065,-0.007,1.004,,,,-0.122,0.122,-0.061,
7.112,-0.066,-0.007,1.004,,,,0.183,0.183,-0.122,
7.122,-0.065,-0.006,1.005,,,,0.122,0.305,0.183,
7.133,-0.065,-0.005,1.003,,,,0.305,-0.183,0.366,
7.143,-0.064,-0.006,1.003,,,,0.305,0.183,0,
7.153,-0.063,-0.007,1.004,,,,0.244,0.122,-0.122,
7.162,-0.064,-0.006,1.006,,,,0.366,-0.122,0.061,
7.172,-0.063,-0.007,1.005,,,,0,-0.061,-0.183,
7.183,-0.064,-0.006,1.004,,,,-0.061,-0.061,-0.122,
7.193,-0.065,-0.007,1.004,,,,-0.244,0.122,0,
7.202,-0.064,-0.005,1.005,,,,-0.183,0.061,-0.183,
7.212,-0.064,-0.006,1.003,,,,-0.305,0.061,-0.061,
7.222,-0.063,-0.006,1.005,,,,0.122,-0.122,-0.061,
7.232,-0.063,-0.008,1.005,,,,-0.244,0.244,0,
7.241,-0.063,-0.008,1.004,,,,-0.244,0.183,0.244,
7.251,-0.063,-0.006,1.003,,,,0.061,0.122,-0.061,
7.262,-0.065,-0.007,1.003,,,,0.427,0,0.061,
7.272,-0.065,-0.008,1.003,,,,-0.061,0,0.061,
7.281,-0.063,-0.006,1.004,,,,0.305,0.061,0,
7.291,-0.065,-0.007,1.004,,,,-0.183,0.366,-0.183,
7.301,-0.067,-0.006,1.004,,,,0.122,0.244,0.061,
7.311,-0.065,-0.007,1.004,,,,0.061,0.244,-0.244,
7.32,-0.062,-0.006,1.005,,,,0.183,-0.061,0.183,
7.33,-0.063,-0.006,1.003,,,,-0.183,0,0.122,
7.341,-0.065,-0.007,1.004,,,,-0.122,0.061,0,
7.351,-0.064,-0.006,1.006,,,,0.244,0.061,-0.061,
7.361,-0.063,-0.005,1.005,,,,0,0.366,0.061,
7.37,-0.064,-0.006,1.005,,,,0.061,0.244,-0.244,
7.38,-0.064,-0.006,1.005,,,,0.183,0.305,-0.122,
7.391,-0.064,-0.005,1.005,,,,-0.183,0.122,-0.244,
7.401,-0.065,-0.006,1.004,,,,-0.183,0.183,0.061,
7.41,-0.065,-0.006,1.004,,,,0,0.122,0.122,
7.42,-0.064,-0.005,1.003,,,,0.183,0.183,0.122,
7.43,-0.063,-0.006,1.004,,,,-0.183,-0.122,-0.122,
7.44,-0.064,-0.007,1.004,,,,-0.305,0.061,0.366,
7.449,-0.063,-0.007,1.005,,,,0,0.061,-0.122,
7.459,-0.065,-0.006,1.005,,,,0.061,0.061,0.183,
7.47,-0.064,-0.005,1.004,,,,-0.061,0.183,0.122,
7.48,-0.064,-0.005,1.006,,,,0,0.183,-0.061,
7.489,-0.065,-0.006,1.005,,,,0.061,0,0.183,
7.499,-0.066,-0.007,1.005,,,,0.061,0.122,0.122,
7.509,-0.064,-0.007,1.004,,,,0,0.244,0,
7.519,-0.064,-0.006,1.004,,,,0.366,0.244,0.122,
7.53,-0.065,-0.006,1.003,,,,0.244,0.122,-0.183,
7.538,-0.064,-0.006,1.003,,,,0,0.305,0,
7.549,-0.063,-0.007,1.005,,,,0,-0.122,-0.061,
7.559,-0.063,-0.007,1.006,,,,0.305,-0.061,-0.061,
7.569,-0.063,-0.007,1.005,,,,0.427,0.366,0.183,
7.578,-0.065,-0.005,1.002,,,,0.488,0.183,-0.061,
7.588,-0.064,-0.007,1.004,,,,0.427,0.244,-0.061,
7.599,-0.064,-0.007,1.003,,,,-0.122,0.061,0.061,
7.609,-0.066,-0.007,1.004,,,,-0.183,0.305,0.061,
7.618,-0.064,-0.008,1.005,,,,0.183,0.061,0.122,
7.628,-0.064,-0.005,1.004,,,,-0.183,0.305,0.122,
7.638,-0.063,-0.006,1.003,,,,-0.244,0.244,0.061,
7.648,-0.064,-0.006,1.004,,,,0,0.244,0,
7.657,-0.065,-0.004,1.005,,,,-0.061,0.244,0.183,
7.667,-0.065,-0.005,1.004,,,,0.183,-0.061,0,
7.678,-0.065,-0.007,1.004,,,,0.427,0,0.183,
7.688,-0.063,-0.007,1.003,,,,0.366,0.244,0.061,
7.697,-0.064,-0.006,1.005,,,,0.244,0.122,-0.122,
7.707,-0.065,-0.007,1.004,,,,0.244,0,0.244,
7.717,-0.063,-0.007,1.005,,,,-0.061,-0.183,-0.061,
7.727,-0.064,-0.005,1.004,,,,-0.183,0,0.122,
7.738,-0.063,-0.005,1.004,,,,-0.183,0.122,0.061,
7.746,-0.064,-0.006,1.005,,,,-0.366,0.122,0.061,
7.757,-0.064,-0.007,1.005,,,,-0.366,0.061,0,
7.767,-0.065,-0.008,1.006,,,,0.183,0.244,-0.122,
7.777,-0.064,-0.005,1.003,,,,-0.061,0.183,0.122,
7.786,-0.064,-0.007,1.003,,,,0.244,0.122,-0.061,
7.796,-0.064,-0.006,1.003,,,,0,0.122,0.244,
7.807,-0.064,-0.006,1.003,,,,-0.061,0.122,0.122,
7.817,-0.063,-0.006,1.002,,,,0.183,0.305,-0.244,
7.826,-0.065,-0.008,1.004,,,,-0.427,0.305,-0.305,
7.836,-0.064,-0.008,1.005,,,,0,-0.061,0.122,
7.846,-0.064,-0.007,1.004,,,,-0.122,0.244,0.061,
7.856,-0.064,-0.005,1.004,,,,-0.244,0.427,0,
7.865,-0.065,-0.008,1.004,,,,0.122,0.061,0,
7.875,-0.064,-0.008,1.005,,,,0.122,0,0.183,
7.886,-0.063,-0.007,1.004,,,,0.061,-0.061,0.061,
7.896,-0.064,-0.007,1.005,,,,-0.122,0.122,0.122,
7.905,-0.064,-0.007,1.006,,,,-0.061,-0.061,0.061,
7.915,-0.064,-0.006,1.006,,,,-0.061,-0.061,-0.061,
7.925,-0.065,-0.005,1.004,,,,0.244,0,0.183,
7.935,-0.064,-0.006,1.004,,,,0.183,0,-0.183,
7.946,-0.064,-0.007,1.004,,,,0.244,0.183,0,
7.954,-0.064,-0.005,1.005,,,,0.244,0.183,0.122,
7.965,-0.064,-0.006,1.004,,,,-0.061,0.366,-0.183,
7.975,-0.064,-0.006,1.005,,,,0.122,0.244,0.061,
7.985,-0.065,-0.004,1.004,,,,-0.061,-0.122,-0.122,
7.994,-0.064,-0.006,1.005,,,,0.122,0,0.122,
8.004,-0.064,-0.007,1.004,,,,0.122,0.183,0.244,
8.015,-0.064,-0.007,1.006,,,,0.061,-0.122,-0.061,
8.025,-0.063,-0.005,1.004,,,,0.061,0.061,0.122,
8.034,-0.063,-0.007,1.002,,,,0.061,0.61,0,
8.044,-0.063,-0.006,1.004,,,,0,0.305,-0.061,
8.054,-0.063,-0.005,1.005,,,,-0.244,0.305,-0.122,
8.064,-0.063,-0.005,1.004,,,,0.244,0.061,0,
8.073,-0.063,-0.006,1.003,,,,-0.122,0.122,-0.244,
8.083,-0.063,-0.007,1.005,,,,0,0.366,0.061,
8.094,-0.064,-0.007,1.005,,,,0.061,0.305,0,
8.104,-0.065,-0.008,1.003,,,,0.122,0.122,0.183,
8.113,-0.065,-0.008,1.005,,,,0,0.305,0.305,
8.123,-0.064,-0.006,1.004,,,,0.122,0.122,-0.183,
8.133,-0.062,-0.006,1.004,,,,0.366,0.061,0.061,
8.143,-0.063,-0.006,1.004,,,,0.061,-0.305,0.366,
8.154,-0.065,-0.006,1.005,,,,-0.061,0.305,-0.122,
8.163,-0.063,-0.006,1.004,,,,-0.244,0.183,-0.183,
8.173,-0.063,-0.005,1.006,,,,-0.366,0.061,-0.183,
8.183,-0.063,-0.006,1.006,,,,0,0.122,-0.183,
8.193,-0.063,-0.005,1.004,,,,-0.061,-0.061,0.122,
8.202,-0.064,-0.005,1.003,,,,0,0.366,0.183,
8.212,-0.064,-0.006,1.005,,,,-0.061,0.183,-0.061,
8.223,-0.065,-0.007,1.005,,,,0.122,0.366,0.183,
8.233,-0.066,-0.007,1.005,,,,0.244,0.183,0.061,
8.242,-0.064,-0.006,1.005,,,,0.061,0.183,0,
8.252,-0.065,-0.007,1.003,,,,0.244,0.122,-0.305,
8.262,-0.064,-0.005,1.004,,,,0.61,-0.061,-0.061,
8.272,-0.062,-0.006,1.005,,,,0,0.183,-0.122,
8.281,-0.064,-0.006,1.004,,,,-0.122,0.061,-0.122,
8.291,-0.064,-0.006,1.004,,,,0.122,0.244,-0.061,
8.302,-0.064,-0.007,1.004,,,,-0.122,0.366,-0.061,
8.312,-0.064,-0.005,1.004,,,,-0.305,0.427,0.061,
8.321,-0.063,-0.006,1.005,,,,-0.061,-0.061,0.061,
8.331,-0.064,-0.006,1.004,,,,0.061,0.244,0,
8.341,-0.064,-0.006,1.003,,,,0.061,0.366,0.061,
8.351,-0.063,-0.005,1.005,,,,0.183,0.122,0.122,
8.362,-0.065,-0.007,1.005,,,,0.305,0.122,-0.061,
8.371,-0.064,-0.006,1.005,,,,0.183,0.122,0,
8.381,-0.063,-0.007,1.004,,,,0.366,0.183,0,
8.391,-0.064,-0.006,1.005,,,,0.122,0.183,0.366,
8.401,-0.064,-0.005,1.005,,,,0,0.671,0.061,
8.41,-0.064,-0.007,1.003,,,,0,0.366,-0.061,
8.42,-0.064,-0.006,1.003,,,,0.061,0.122,-0.061,
8.431,-0.063,-0.004,1.006,,,,0.244,0.244,-0.061,
8.441,-0.063,-0.007,1.004,,,,-0.488,0.122,-0.061,
8.45,-0.064,-0.008,1.005,,,,-0.122,0.061,0,
8.46,-0.064,-0.006,1.005,,,,0.305,0.061,-0.244,
8.47,-0.065,-0.006,1.005,,,,0.488,-0.122,0.183,
8.48,-0.064,-0.006,1.004,,,,0.122,0,0.061,
8.489,-0.065,-0.006,1.003,,,,0.061,-0.183,0.244,
8.499,-0.064,-0.007,1.003,,,,0.122,0.183,-0.061,
8.51,-0.065,-0.006,1.005,,,,0.122,0.183,-0.183,
8.52,-0.064,-0.006,1.003,,,,-0.061,0.061,0.244,
8.529,-0.063,-0.005,1.004,,,,-0.183,0.061,0.244,
8.539,-0.063,-0.005,1.004,,,,0.061,0.061,0.061,
8.549,-0.065,-0.005,1.005,,,,-0.061,0.183,-0.061,
8.559,-0.064,-0.008,1.005,,,,-0.061,-0.183,-0.061,
8.57,-0.064,-0.006,1.006,,,,-0.122,0.183,0,
8.579,-0.063,-0.005,1.006,,,,-0.061,0.183,0,
8.589,-0.064,-0.005,1.004,,,,0.183,0.244,-0.061,
8.599,-0.064,-0.004,1.004,,,,0.061,-0.061,-0.122,
8.609,-0.063,-0.005,1.004,,,,0.305,0.244,-0.122,
8.618,-0.065,-0.006,1.003,,,,0.183,0,-0.061,
8.628,-0.064,-0.008,1.004,,,,-0.061,0.305,0,
8.639,-0.065,-0.007,1.004,,,,0.061,0,0.061,
8.649,-0.063,-0.006,1.006,,,,0.244,0.122,0.244,
8.658,-0.064,-0.006,1.006,,,,0.244,0.122,-0.122,
8.668,-0.064,-0.005,1.003,,,,0.061,0.549,0.122,
8.678,-0.065,-0.005,1.003,,,,-0.122,-0.122,-0.122,
8.688,-0.064,-0.005,1.004,,,,0.183,0.122,0,
8.697,-0.063,-0.005,1.005,,,,0.427,0,0.061,
8.707,-0.063,-0.007,1.005,,,,-0.061,0.122,0,
8.718,-0.064,-0.006,1.005,,,,-0.183,0.305,-0.122,
8.728,-0.064,-0.007,1.005,,,,0.122,0.366,-0.061,
8.737,-0.064,-0.006,1.005,,,,0.671,0,-0.183,
8.747,-0.064,-0.006,1.003,,,,0.244,0,0.061,
8.757,-0.064,-0.005,1.003,,,,0,0.183,-0.061,
8.767,-0.065,-0.006,1.004,,,,-0.061,0.061,0.061,
8.778,-0.063,-0.007,1.003,,,,0.183,0.122,-0.061,
8.787,-0.065,-0.006,1.004,,,,0.366,-0.244,0.061,
8.797,-0.064,-0.006,1.005,,,,-0.244,0,-0.244,
8.807,-0.064,-0.007,1.005,,,,-0.305,0.122,-0.061,
8.817,-0.065,-0.005,1.004,,,,-0.183,0.183,-0.183,
8.826,-0.064,-0.006,1.005,,,,-0.061,0.122,-0.061,
8.836,-0.064,-0.005,1.004,,,,0.122,0.122,0,
8.847,-0.064,-0.007,1.005,,,,0.305,0,0,
8.857,-0.064,-0.008,1.004,,,,0.061,0.122,-0.061,
8.866,-0.064,-0.006,1.004,,,,-0.122,0.183,-0.122,
8.876,-0.064,-0.005,1.004,,,,0.122,-0.061,0.122,
8.886,-0.064,-0.007,1.005,,,,0.366,0,0.183,
8.896,-0.063,-0.006,1.005,,,,0.488,0,0.122,
8.905,-0.064,-0.005,1.005,,,,0.244,0.061,0.061,
8.915,-0.065,-0.006,1.005,,,,0.122,0.244,-0.061,
8.926,-0.063,-0.006,1.005,,,,0.244,0.305,-0.061,
8.936,-0.063,-0.006,1.006,,,,0.183,0.183,-0.183,
8.945,-0.063,-0.006,1.004,,,,0.122,0,0.122,
8.955,-0.064,-0.005,1.005,,,,0.366,0.244,-0.061,
8.965,-0.063,-0.004,1.002,,,,0.854,-0.061,-0.183,
8.975,-0.065,-0.006,1.003,,,,0.427,0.061,0.183,
8.986,-0.063,-0.005,1.005,,,,0.183,0.122,0.061,
8.995,-0.065,-0.006,1.005,,,,0.244,-0.061,-0.183,
9.005,-0.065,-0.005,1.005,,,,0,-0.061,0.183,
9.015,-0.064,-0.005,1.004,,,,-0.305,0.122,-0.061,
9.025,-0.063,-0.004,1.004,,,,-0.305,0.061,0,
9.034,-0.064,-0.005,1.006,,,,0.061,0.366,0,
9.044,-0.064,-0.006,1.004,,,,-0.183,0,-0.061,
9.055,-0.064,-0.006,1.004,,,,-0.061,0.061,0,
9.065,-0.064,-0.006,1.004,,,,0.366,0,0.244,
9.074,-0.063,-0.007,1.005,,,,-0.061,0,0.061,
9.084,-0.065,-0.006,1.005,,,,0.122,0.366,-0.183,
9.094,-0.065,-0.006,1.003,,,,0.061,0,0.122,
9.104,-0.062,-0.005,1.004,,,,-0.061,0.305,-0.244,
9.113,-0.065,-0.005,1.003,,,,-0.122,0.366,-0.183,
9.123,-0.064,-0.006,1.004,,,,-0.244,0.061,-0.122,
9.134,-0.063,-0.005,1.004,,,,-0.366,0.244,0,
9.144,-0.063,-0.004,1.003,,,,-0.061,0.305,-0.061,
9.153,-0.064,-0.006,1.003,,,,0.061,0.183,-0.244,
9.163,-0.063,-0.005,1.005,,,,0.183,0.244,0,
9.173,-0.063,-0.005,1.004,,,,0.122,0.183,-0.305,
9.183,-0.064,-0.006,1.005,,,,0.061,0.122,0.183,
9.194,-0.063,-0.006,1.003,,,,0,0.244,0,
9.203,-0.065,-0.005,1.002,,,,-0.061,0,0.061,
9.213,-0.065,-0.006,1.004,,,,-0.061,0.122,-0.183,
9.223,-0.065,-0.005,1.003,,,,0,0.183,0,
9.233,-0.064,-0.005,1.003,,,,-0.122,0,0,
9.242,-0.064,-0.006,1.004,,,,-0.488,0.061,-0.061,
9.252,-0.063,-0.007,1.005,,,,0,-0.061,-0.061,
9.263,-0.062,-0.005,1.005,,,,0,-0.183,0.122,
9.273,-0.065,-0.005,1.004,,,,0.183,0.183,0.244,
9.282,-0.065,-0.004,1.004,,,,0.183,0.061,0,
9.292,-0.065,-0.006,1.005,,,,0.244,0.366,0,
9.302,-0.065,-0.006,1.004,,,,0.305,0.061,-0.061,
9.312,-0.064,-0.007,1.003,,,,0.061,0.061,-0.122,
9.321,-0.064,-0.007,1.005,,,,0.061,0.244,0.061,
9.331,-0.065,-0.006,1.005,,,,0.122,0.061,-0.061,
9.342,-0.065,-0.006,1.003,,,,-0.305,0.244,-0.244,
9.352,-0.063,-0.005,1.004,,,,-0.671,0.061,-0.183,
9.362,-0.064,-0.005,1.006,,,,-0.732,0.183,0.061,
9.371,-0.064,-0.007,1.007,,,,-0.61,0.244,-0.183,
9.381,-0.063,-0.006,1.006,,,,-0.061,-0.122,0.305,
9.392,-0.064,-0.005,1.004,,,,0.61,0.183,0.061,
9.402,-0.065,-0.004,1.003,,,,0.305,0.122,0.244,
9.411,-0.065,-0.007,1.003,,,,0.122,0.244,0.122,
9.421,-0.064,-0.006,1.003,,,,0.305,-0.183,0.061,
9.431,-0.065,-0.007,1.003,,,,0.488,-0.183,0,
9.441,-0.065,-0.008,1.004,,,,0.61,0.122,-0.305,
9.45,-0.063,-0.006,1.005,,,,0.183,0.305,-0.061,
9.46,-0.064,-0.007,1.004,,,,-0.183,-0.061,-0.122,
9.471,-0.065,-0.005,1.005,,,,0.061,0.061,0.183,
9.481,-0.064,-0.004,1.002,,,,0.122,0.061,-0.061,
9.49,-0.064,-0.003,1.003,,,,-0.183,0.183,-0.122,
9.5,-0.063,-0.005,1.004,,,,0.061,0.183,0.183,
9.51,-0.065,-0.005,1.006,,,,-0.061,0.183,-0.183,
9.52,-0.065,-0.005,1.007,,,,-0.244,0.061,0,
9.529,-0.064,-0.005,1.005,,,,0,-0.122,0.061,
9.539,-0.064,-0.007,1.004,,,,-0.366,0.122,0,
9.55,-0.066,-0.006,1.004,,,,-0.671,0.244,0.122,
9.56,-0.065,-0.005,1.002,,,,0.244,-0.305,0.061,
9.57,-0.064,-0.005,1.004,,,,0.549,0.305,0.122,
9.579,-0.065,-0.005,1.006,,,,0.183,0.183,0,
9.589,-0.065,-0.005,1.003,,,,0.061,0.122,0.122,
9.6,-0.065,-0.006,1.003,,,,0.061,0.427,-0.122,
9.61,-0.064,-0.006,1.005,,,,-0.183,0.183,0.061,
9.619,-0.062,-0.004,1.005,,,,-0.061,-0.183,0,
9.629,-0.063,-0.004,1.006,,,,-0.366,-0.183,-0.427,
9.639,-0.064,-0.006,1.005,,,,-0.732,0.244,-0.183,
9.649,-0.064,-0.005,1.005,,,,-0.366,0.061,-0.061,
9.658,-0.066,-0.004,1.005,,,,0,0.244,-0.61,
9.668,-0.064,-0.004,1.005,,,,0.244,-0.183,0.183,
9.679,-0.063,-0.006,1.003,,,,0.488,0.061,0.061,
9.689,-0.066,-0.007,1.004,,,,0.305,0.183,0.244,
9.698,-0.066,-0.006,1.006,,,,0.061,0.244,-0.061,
9.708,-0.064,-0.006,1.004,,,,0,0.244,0.122,
9.718,-0.064,-0.006,1.004,,,,0.366,0.122,0.122,
9.728,-0.064,-0.007,1.005,,,,-0.366,0,-0.305,
9.737,-0.063,-0.004,1.004,,,,-0.122,0.488,-0.366,
9.747,-0.064,-0.004,1.003,,,,-0.183,0.061,-0.061,
9.758,-0.064,-0.006,1.005,,,,-0.122,0.305,-0.183,
9.768,-0.065,-0.006,1.002,,,,-0.244,0.122,0,
9.778,-0.064,-0.006,1.003,,,,0.244,0.366,-0.122,
9.787,-0.065,-0.005,1.004,,,,0.244,0.061,0.122,
9.797,-0.065,-0.005,1.005,,,,0.061,0.183,0,
9.808,-0.064,-0.006,1.004,,,,-0.061,0.061,0,
9.818,-0.064,-0.007,1.003,,,,0.061,0.122,0.061,
9.827,-0.063,-0.005,1.004,,,,0,0.122,-0.305,
9.837,-0.064,-0.004,1.005,,,,-0.061,-0.061,0.061,
9.847,-0.064,-0.005,1.004,,,,-0.488,0.183,0.183,
9.857,-0.063,-0.007,1.003,,,,-0.244,0.061,0.122,
9.866,-0.063,-0.006,1.005,,,,0,0.061,0,
9.876,-0.065,-0.006,1.006,,,,0,0.488,0,
9.887,-0.065,-0.005,1.005,,,,0.183,0.183,-0.122,
9.897,-0.064,-0.006,1.003,,,,0.305,-0.061,0,
9.906,-0.064,-0.007,1.005,,,,0,0.244,0.366,
9.916,-0.065,-0.005,1.004,,,,0.061,-0.122,0.183,
9.926,-0.064,-0.005,1.004,,,,-0.061,-0.061,0.122,
9.936,-0.065,-0.005,1.003,,,,-0.061,-0.122,-0.122,
9.945,-0.064,-0.006,1.003,,,,-0.061,0.122,0.122,
9.955,-0.065,-0.005,1.004,,,,-0.488,0.122,0,
9.966,-0.065,-0.005,1.006,,,,-0.549,0.366,-0.061,
9.976,-0.063,-0.006,1.006,,,,0.183,0.183,0.122,
9.986,-0.064,-0.008,1.005,,,,0.366,0.183,0.183,
9.995,-0.064,-0.005,1.004,,,,0.122,0.488,-0.183,
10.005,-0.064,-0.006,1.004,,,,0.122,0,-0.244,
10.016,-0.065,-0.007,1.004,,,,0.183,0.061,0,
10.026,-0.065,-0.007,1.003,,,,-0.244,-0.122,0.061,
10.035,-0.065,-0.006,1.004,,,,-0.183,0.244,-0.183,
10.045,-0.062,-0.006,1.005,,,,-0.061,0.244,0.122,
10.055,-0.064,-0.007,1.003,,,,0.305,0,-0.122,
10.065,-0.065,-0.006,1.003,,,,0.366,0.183,0.061,
10.074,-0.064,-0.005,1.005,,,,0,0,0,
10.084,-0.065,-0.005,1.005,,,,0.61,0.061,0.183,
10.095,-0.064,-0.006,1.004,,,,0.366,0,-0.061,
10.105,-0.064,-0.006,1.003,,,,0.122,0.061,0.183,
10.114,-0.064,-0.006,1.006,,,,-0.061,0.244,0.061,
10.124,-0.064,-0.005,1.005,,,,-0.671,0.488,0,
10.134,-0.064,-0.005,1.006,,,,-0.244,0.183,-0.183,
10.144,-0.062,-0.005,1.006,,,,0.305,-0.061,-0.183,
10.153,-0.064,-0.006,1.005,,,,0.549,-0.122,0.122,
10.163,-0.065,-0.003,1.004,,,,0,-0.061,-0.122,
10.174,-0.064,-0.004,1.004,,,,-0.671,-0.061,-0.122,
10.184,-0.065,-0.007,1.003,,,,0,0.061,-0.305,
10.194,-0.064,-0.008,1.004,,,,0.427,0.244,-0.061,
10.203,-0.063,-0.007,1.005,,,,0.122,0,0.183,
10.213,-0.063,-0.004,1.005,,,,-0.305,-0.061,0.183,
10.224,-0.064,-0.006,1.005,,,,-0.305,0.122,-0.061,
10.234,-0.062,-0.007,1.003,,,,0.183,0.061,0.061,
10.243,-0.063,-0.005,1.005,,,,0.183,0.366,0.061,
10.253,-0.065,-0.006,1.005,,,,-0.244,0.305,-0.183,
10.263,-0.063,-0.007,1.005,,,,0.244,0,0.183,
10.273,-0.065,-0.005,1.005,,,,-0.122,0.122,0,
10.282,-0.065,-0.004,1.006,,,,-0.061,0.183,0,
10.292,-0.063,-0.005,1.007,,,,-0.183,0.122,0.183,
10.303,-0.065,-0.005,1.004,,,,0.183,0,0.122,
10.313,-0.065,-0.005,1.002,,,,0.183,0.122,0.305,
10.322,-0.064,-0.007,1.005,,,,-0.366,0.305,-0.061,
10.332,-0.063,-0.006,1.005,,,,0.244,0.061,0.061,
10.342,-0.064,-0.006,1.006,,,,0.549,0.183,0.183,
10.352,-0.064,-0.006,1.004,,,,0.549,0.244,-0.244,
10.361,-0.064,-0.005,1.007,,,,0.427,0.061,0.061,
10.371,-0.064,-0.005,1.005,,,,0.183,0.366,0,
10.382,-0.064,-0.005,1.004,,,,0.061,0.244,0,
10.392,-0.065,-0.006,1.006,,,,0.061,0.122,0.244,
10.402,-0.065,-0.005,1.004,,,,0.122,0.122,0.122,
10.411,-0.065,-0.006,1.004,,,,-0.488,-0.061,-0.122,
10.421,-0.064,-0.007,1.004,,,,-0.061,-0.122,0.061,
10.432,-0.063,-0.005,1.004,,,,0,0.305,0.122,
10.442,-0.063,-0.005,1.003,,,,0.244,0.122,-0.061,
10.451,-0.062,-0.007,1.004,,,,0.366,-0.061,0.183,
10.461,-0.063,-0.005,1.006,,,,0.427,0.122,0.183,
10.471,-0.065,-0.004,1.007,,,,0.427,0.122,0,
10.481,-0.064,-0.006,1.004,,,,-0.244,0,-0.244,
10.49,-0.063,-0.005,1.005,,,,-0.122,0.244,0.061,
10.5,-0.064,-0.006,1.006,,,,-0.061,0.122,0.122,
10.511,-0.065,-0.005,1.004,,,,-0.183,0,-0.305,
10.521,-0.064,-0.006,1.003,,,,-0.305,0.427,-0.061,
10.53,-0.064,-0.005,1.003,,,,0.061,-0.122,-0.061,
10.54,-0.062,-0.006,1.004,,,,0.305,0.183,-0.244,
10.55,-0.063,-0.007,1.004,,,,0.305,0.061,0,
10.56,-0.064,-0.007,1.006,,,,-0.122,0.061,0.122,
10.569,-0.066,-0.006,1.005,,,,-0.061,0.061,-0.061,
10.579,-0.065,-0.007,1.006,,,,-0.122,0.122,0,
10.59,-0.064,-0.008,1.005,,,,0,0.183,0,
10.6,-0.062,-0.006,1.005,,,,0.122,0.366,0.366,
10.61,-0.063,-0.005,1.005,,,,0,0.061,0.061,
10.619,-0.064,-0.006,1.004,,,,-0.061,0.061,0.122,
10.629,-0.063,-0.007,1.004,,,,0.061,0.244,0.061,
10.64,-0.065,-0.006,1.004,,,,-0.061,-0.122,-0.061,
10.65,-0.064,-0.006,1.005,,,,-0.244,0.122,-0.061,
10.659,-0.065,-0.004,1.003,,,,-0.244,0.305,0,
10.669,-0.065,-0.006,1.005,,,,0,0.244,0.244,
10.679,-0.064,-0.007,1.006,,,,0.366,0,-0.122,
10.689,-0.063,-0.007,1.004,,,,0.183,0.244,-0.061,
10.698,-0.064,-0.006,1.004,,,,0,0.061,0.122,
10.708,-0.064,-0.005,1.004,,,,0,0,0.122,
10.719,-0.063,-0.007,1.004,,,,0.244,0.244,-0.122,
10.729,-0.065,-0.006,1.006,,,,-0.366,0,0.061,
10.738,-0.065,-0.006,1.005,,,,0.061,0.244,-0.183,
10.748,-0.063,-0.005,1.002,,,,0.122,0.122,0.061,
10.758,-0.064,-0.005,1.005,,,,0.305,0,0.061,
10.768,-0.066,-0.006,1.004,,,,0.244,0.061,-0.183,
10.777,-0.066,-0.006,1.004,,,,-0.061,0.183,-0.122,
10.788,-0.066,-0.005,1.004,,,,0.122,0.061,0.183,
10.798,-0.064,-0.008,1.005,,,,0.122,0.183,-0.122,
10.808,-0.064,-0.007,1.004,,,,0.061,0.183,0.122,
10.818,-0.064,-0.006,1.003,,,,0.061,0.244,-0.061,
10.827,-0.063,-0.006,1.004,,,,-0.061,0.183,0,
10.837,-0.064,-0.005,1.004,,,,-0.183,-0.061,0.061,
10.848,-0.064,-0.005,1.004,,,,0,0.122,0,
10.858,-0.064,-0.005,1.004,,,,0.183,0,0.122,
10.867,-0.065,-0.006,1.004,,,,0.366,0.183,0,
10.877,-0.066,-0.007,1.005,,,,0.427,0.061,0.061,
10.887,-0.066,-0.008,1.005,,,,-0.122,0.305,0.122,
10.897,-0.064,-0.007,1.006,,,,-0.061,0.244,-0.183,
10.906,-0.063,-0.005,1.005,,,,0.122,0.061,0,
10.916,-0.064,-0.006,1.004,,,,0,-0.061,-0.061,
10.927,-0.064,-0.006,1.004,,,,-0.061,0.061,0,
10.937,-0.063,-0.005,1.004,,,,-0.488,-0.244,0,
10.946,-0.064,-0.006,1.003,,,,-0.427,0.061,-0.061,
10.956,-0.064,-0.006,1.004,,,,-0.305,0.122,-0.122,
10.966,-0.065,-0.005,1.005,,,,0,0.122,0.122,
10.976,-0.066,-0.004,1.004,,,,0.244,0.366,0.061,
10.985,-0.064,-0.006,1.004,,,,0,0.122,0.061,
10.996,-0.064,-0.008,1.005,,,,0.122,0.061,0.122,
11.006,-0.064,-0.008,1.005,,,,-0.488,0.061,-0.061,
11.016,-0.066,-0.005,1.003,,,,-0.305,0.305,-0.122,
11.026,-0.064,-0.005,1.004,,,,-0.244,0.366,-0.122,
11.035,-0.064,-0.006,1.004,,,,0,0.061,0.183,
11.045,-0.065,-0.006,1.004,,,,0.122,0.183,0.183,
11.056,-0.063,-0.006,1.004,,,,0.244,0.366,-0.122,
11.066,-0.065,-0.006,1.005,,,,0.183,0.061,0,
11.075,-0.065,-0.007,1.005,,,,0.427,0.061,0.366,
