elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
0.595,-0.064,-0.006,1.003,0.00002125,-0.00002275,-0.000012438,0,-0.122,0.244,
0.605,-0.064,-0.005,1.003,0.0000205,-0.000023125,-0.000012,-0.183,0.183,0,
0.614,-0.063,-0.006,1.006,0.000020875,-0.000023438,-0.000011625,-0.305,0.122,0.183,
0.624,-0.063,-0.008,1.006,0.00002125,-0.000023438,-0.000012,-0.061,0.244,-0.061,
0.635,-0.064,-0.006,1.005,0.000021625,-0.000023438,-0.00001325,0.122,0.183,0.061,
0.645,-0.063,-0.004,1.006,0.000019812,-0.000024188,-0.000012,-0.061,0.061,-0.183,
0.655,-0.063,-0.004,1.006,0.000019812,-0.000023438,-0.000011625,0.122,0.122,-0.183,
0.664,-0.064,-0.005,1.006,0.000020875,-0.000023812,-0.000012,0.183,0.061,-0.061,
0.674,-0.063,-0.005,1.006,0.000021625,-0.000023438,-0.000011187,-0.244,0.427,-0.122,
0.684,-0.063,-0.006,1.005,0.000020187,-0.00002275,-0.000011187,-0.366,0.305,0.305,
0.695,-0.064,-0.006,1.004,0.000020187,-0.000023125,-0.000012438,0.244,0.183,0.244,
0.704,-0.065,-0.004,1.004,0.000020875,-0.00002275,-0.000012813,-0.305,0.122,-0.122,
0.714,-0.064,-0.006,1.005,0.000020875,-0.000023125,-0.000012813,-0.061,-0.244,0.061,
0.724,-0.064,-0.005,1.005,0.00002125,-0.000023125,-0.000012438,-0.122,0.488,-0.244,
0.734,-0.063,-0.005,1.003,0.00002125,-0.000024562,-0.00001325,-0.061,0,0.122,
0.743,-0.063,-0.006,1.005,0.000020187,-0.000023812,-0.000012,-0.427,0.244,-0.122,
0.753,-0.064,-0.006,1.005,0.000020187,-0.000023812,-0.000011625,-0.061,0.122,0.183,
0.764,-0.063,-0.006,1.005,0.000020875,-0.000023812,-0.000012,0.305,0.305,0.122,
0.774,-0.063,-0.007,1.004,0.00002125,-0.000023438,-0.000012813,0.183,0,0,
0.783,-0.063,-0.005,1.004,0.00002125,-0.000023812,-0.000012438,0.488,-0.183,0.061,
0.793,-0.063,-0.005,1.005,0.000020187,-0.000023438,-0.000011625,0.183,0,-0.061,
0.803,-0.064,-0.006,1.005,0.000022,-0.00002275,-0.000011187,-0.488,0.122,0.061,
0.813,-0.064,-0.006,1.005,0.0000205,-0.000023812,-0.000010812,-0.122,0.244,0.122,
0.822,-0.063,-0.006,1.006,0.000021625,-0.000023125,-0.000012,-0.183,0.183,0.244,
0.832,-0.063,-0.005,1.005,0.000020187,-0.000023438,-0.000012438,-0.488,0.061,-0.061,
0.843,-0.064,-0.004,1.006,0.0000205,-0.000023812,-0.000012438,-0.305,-0.183,0,
0.853,-0.062,-0.004,1.005,0.0000205,-0.00002275,-0.000012813,0.122,0.183,-0.061,
0.863,-0.064,-0.005,1.003,0.00002125,-0.000023438,-0.000012438,-0.305,0.366,-0.061,
0.872,-0.065,-0.005,1.003,0.0000205,-0.000024188,-0.000011625,-0.122,0.061,-0.244,
0.882,-0.064,-0.007,1.004,0.00002125,-0.00002275,-0.000012438,0.366,0.122,0.061,
0.892,-0.063,-0.006,1.007,0.0000205,-0.000024188,-0.000011625,0.183,-0.061,0.061,
